session_name,paper_id,title,authors,institutions,abstract,pdf_url,pdf_available,doi,page_number,received_date,accepted_date
MOPCO - Monday Poster Session,MOPCO01,End to end simulations of a novel optical fibre monitoring system for energy recovery LINACs46Energy recovery LINACs,A. Jones; Eley; Welsch,Cockcroft Institute,"(ERLs) are a type of novel accelerator, which recycle energy from old beams to new beams to increase machine energy efficiency. However, this can heighten beam instabilities, which limits the maximum beam current and increases beam losses. An optical fibre beam loss monitor (OBLM) can provide rapid and reliable beam loss monitoring, which is important for mitigating these instabilities. It obtains the beam loss location via time-of-flight analysis of Cherenkov radiation (CR) produced in optical fibres by relativistic particle showers from beam loss events. Operational demonstration of the OBLM system has previously been shown at several non-ERL facilities, but the multi-energy, fast-repeating beams of ERLs present a unique challenge. Successful interpretation of ERL beam loss signals involves distinguishing losses from beams of different energies, which can be investigated through end-to-end Monte Carlo simulations of the radiation environment and its interaction with the OBLM system. This contribution presents Geant4 simulations of the OBLM response to sample sources of beam loss for beam energies of 7-500 MeV and bunch populations of 1-10M electrons., L. , University of LiverpoolJ. Wolfenden, C. , University of Liverpool, University of Liverpool; Cockcroft InstituteS. Boogert  University of Manchester, Cockcroft Institute, Cockcroft Institute; University of Manchester 10.18429/JACoW-IBIC2025-MOPCO01 26 Aug 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO01.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO01,,,
MOPCO - Monday Poster Session,MOPCO02,PREDICTION OF FEL PERFORMANCE USING BPM MEASUREMENTS AND MACHINE LEARNING50This study developed and validated a machine,X. Yang; C. Liu; Y. Leng; Deng,University of Science and Technology of China,"learning approach to analyze the correlation between beam position monitor (BPM) measurement data and output laser power in the Hefei Infrared Free-Electron Laser (FEL) facility. Using transverse position, charge, and longitudinal phase information from 280 individual bunches collected by BPM probes upstream of the undulator, we successfully constructed a high-precision predictive model, demonstrating that BPM measurements can effectively predict the output laser power of the infrared FEL. Based on the trained predictive model, we further deconstructed the neural network architecture to accurately identify key bunches and sensitive parameters that most significantly influence laser power output. This provides a clear and targeted optimization basis for subsequent beam tuning experiments. The data-driven strategy employed in this method significantly reduces the workload associated with traditional experience-based tuning, offering an effective technical means to enhance accelerator operational stability., , , Y.  10.18429/JACoW-IBIC2025-MOPCO02 02 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO02.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO02,,,
MOPCO - Monday Poster Session,MOPCO03,"Beam Diagnostics of the NEWGAIN project54The aim of the NEWGAIN Project (NEW GAnil INjector), is to build a second",C. Jamet; G. Monier; J. Foy; T. Adam; T. Andre; M. Michel; C. Potier; G. Brunet; P. Salou; G. Ledu; S. Ferey; C. Hocini; E. Dessay,,"injector on the SPIRAL2 accelerator to produce and accelerate heavier beams with A/q up to 7. The NEWGAIN injector is based on 2 ECR ion sources, two LEBT, one RFQ and a MEBT lines to send new ion beams in the linac and the S3 experimental room. Diagnostic monitors are planned to measure and control beam intensities, profiles, phases, energies and emittances. A presentation of beam characteristics and a description of the diagnostic monitors are done. Modifications of the beam duty cycle system and the machine protection system are also detailed.  GANIL, Grand Accélérateur Nat. d'Ions LourdsS. Leloir, , ,  de Courcy, , , , , , , ,   GANILC. Maazouzi, , P. Graehling  Institut Pluridisciplinaire Hubert Curien 10.18429/JACoW-IBIC2025-MOPCO03 02 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO03.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO03,,,
MOPCO - Monday Poster Session,MOPCO04,Machine learning using beam loss monitors for DIAMOND-II58The slow losses measured by Beam Loss Monitors (BLMs) at,C. Lehmann  University; Bobb,Diamond Light SourceP,"synchrotron light source facilities offer useful but indirect insight into the state of the beam. Patterns arise across the set of BLMs depending on the movement of insertion devices, beam current, temperature, humidity, and other contributors. A variety of neural network models were designed and evaluated to model this behaviour under user beam operation to enable anomaly detection and aid fault investigations. of Oxford, John Adams Institute for Accelerator Science, Diamond Light SourceL. . Burrows  University of Oxford, John Adams Institute for Accelerator Science, John Adams Institute for Accelerator Science; University of Oxford 10.18429/JACoW-IBIC2025-MOPCO04 02 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO04.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO04,,,
MOPCO - Monday Poster Session,MOPCO05,"LHC BLM SYSTEM AUTOMATIONS FOR FAULT DETECTION, DIAGNOSIS, AND ISSUE TRACKING62",B. Salvachua; Zamantzas; D. Tzamarias,European Organization for Nuclear Research,"One of the principal roles of CERN’s Beam Loss Monitoring (BLM) system pertains to the protection of LHC’s superconducting magnets against quench-inducing beam losses. Thus, the continuous surveillance of the BLM system’s performance is essential for the high reliability and availability of the LHC. This paper focuses on the architecture of a novel data pipeline with implementations on monitoring the communication status between the 864 acquisition tunnel modules that digitize the analog loss measurements, and the 432 processing surface modules that determine and act upon the criticality of the beam losses. The discussed pipeline replaces an older batch Extraction-Transformation-Loading (ETL) process, which published daily BLM status reports, in favor of a streaming ETL process. The new pipeline expands beyond the daily publication of static status reports by exploiting real-time data analysis and processing enabling the live assessment of the system’s status via online fault detection and web-based dashboards. Future development on the implemented pipeline envisions online machine learning and automated Jira issue generation features permitting fault prognosis and issue tracking., , C.  10.18429/JACoW-IBIC2025-MOPCO05 03 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO05.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO05,,,
MOPCO - Monday Poster Session,MOPCO06,High-resolution diagnostics of the TOP-IMPLART 71 MeV proton beam using photoluminescent color centers in LiF,M. Vincenti; C. Ronsivalle; M. Astorino; A. Ampollini; V. Surrenti; G. Picardi; G. Bazzano; A. Doria; P. Nenzi; E. Pavoni; F. Fortini; Nichelatti; E. Trinca,ENEA Casaccia Research CentreM,"crystals66Optically active point defects, known as color centers (CCs), are created in the crystal lattice of lithium fluoride (LiF) by irradiation with various types of ionizing radiation. Some of these CCs emit light in the red and green regions of the visible spectrum when optically excited with blue light. When a proton beam irradiates a LiF crystal, a volume distribution of CCs is formed, with defect concentration point-by-point proportional to the absorbed dose for values up to approximately 10^5 Gy. By illuminating the irradiated crystal with blue light in a fluorescence microscope, a luminescent image produced by the CCs can be observed and recorded. A high-resolution diagnostics both for spot imaging and energy in a proton accelerator has been developed based on this technique. Regarding energy, a luminescent replica of the Bragg curve in LiF is extracted and analyzed using a theoretical model of Bragg curve applied to dose deposition, taking into account the crystal dimensions. We report an application of this method to the 71 MeV TOP-IMPLART linac at ENEA Frascati, where it was used to evaluate the beam energy spectrum at both the crystal position and the accelerator exit.E. . Piccinini, , , , , , , , , , , ,   ENEA, Ente per le Nuove Tecnologie, l'Energie e l'Ambiente 10.18429/JACoW-IBIC2025-MOPCO06 31 Jul 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO06.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO06,,,
MOPCO - Monday Poster Session,MOPCO07,The SPS beam loss monitoring system renovation plan70The Super Proton Synchrotron (SPS) beam loss monitoring (BLM),E. Effinger; W. Vigano; M. Saccani; Jensen; C. Zamantzas; B. Salvachua; E. Calvo Giraldo,European Organization for Nuclear Research,"system at CERN, operational for several decades, currently comprises 286 Ionisation Chambers (ICs) around the SPS ring and approximately 144 additional detectors along various extraction lines (TT20, TT40, TT60, etc.). A complete renovation of the system is planned during Long Shutdown 3 (LS3), encompassing detectors, cabling, and acquisition electronics. The upgraded architecture will adopt a design similar to the current LHC BLM system—featuring front-end and back-end electronics housed in separate crates and connected via optical links—ensuring compatibility with the LHC upgrade scheduled around LS4. This paper presents an overview of the proposed architecture for the SPS ring and transfer lines, detailing the key components and expected improvements in performance, modularity and reliability., , , , , , S.  10.18429/JACoW-IBIC2025-MOPCO07 01 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO07.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO07,,,
MOPCO - Monday Poster Session,MOPCO08,A 3GHz Wall Current Transformer for Very High Bandwidth Beam Current Measurements74Non-destructive beam current,L. Dupuy  Bergoz Instrumentation; Farabolini; E. Touzain; P. Korysko  University; F. Stulle; H. Bayle,European Organization for Nuclear Research,"measurements are a crucial aspect of beam instrumentation in any particle accelerator. Often, these measurements must be capable of distinguishing individual beam pulses. In an increasing number of accelerators, pulse repetition rates reach the GHz range. Consequently, beam current measurement bandwidth must exceed a few GHz. To meet this requirement, a wall current transformer was developed with a bandwidth exceeding 3 GHz. It was tested using a vector network analyzer and with an electron beam at CERN's CLEAR facility. Both measurements showed excellent agreement. We introduce the wall current transformer principle and discuss the measurement results. Additionally, we highlight some challenges that must be addressed when measuring high-frequency signals., , ,  (France) of OxfordR. Corsini, W.  10.18429/JACoW-IBIC2025-MOPCO08 22 Aug 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO08.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO08,,,
MOPCO - Monday Poster Session,MOPCO09,EPAC beamline Prototype: Development and optimisation of a high-repetition-rate LWFA system78The Extreme Photonics,A. Bhardwaj; C. Armstrong; D. Symes; C. Selig; A. Thomas; O. Finlay; B. Morkot; J. Giles; C. Hernandez; Gomez; A. Bennett; M. Streeter  Queen; C. Spindloe; B. Spiers; R. Pattathil; S. Dann,Central Laser FacilityE,"Applications Centre (EPAC) is a next-generation high-power laser facility designed to deliver stable, high-repetition-rate (10 Hz) LWFA electron beamline with high quality parameters (∼1nC, ∼1 GeV, &LT5% energy spread). As a crucial preparatory step, one of the 10 TW laser system (Gemini) at the Central Laser Facility is being repurposed as a prototype beamline to de-risk EPAC commissioning and to develop critical subsystems. We report on a progress in three core areas: 1. Targetry Development: We designed and implemented gas-cell targets featuring enhanced durability, leveraging replaceable CVD diamond apertures and modular components to support 5 Hz operation. 2. Beam Optimization: Using Bayesian optimization, we explore tuning of key LWFA outputs—electron charge, energy, divergence, and X-ray flux and energy—achieving improved performance across shots. 3. Integrated Simulation Framework: To support beamline design, we are developing a modular toolkit that couples fluid dynamics (OpenFOAM), particle-in-cell (FBPIC), and Monte Carlo (Geant4) simulations.K. FEDOROV, , , , -Friend, , , , , , , , , , -. Kiely  University of WarwickD. McCartney, 's University Belfast 10.18429/JACoW-IBIC2025-MOPCO09 02 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO09.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO09,,,
MOPCO - Monday Poster Session,MOPCO10,The impact of positional inaccuracy on 3D X-ray image quality82X-ray imaging of both material and biological samples is,S. Wells  Adaptix; Eley; Welsch,Cockcroft Institute,"a key application of synchrotrons and laser wakefield accelerators. However, it is possible that undiagnosed beam location offsets can impact the quality of the image created. This is particularly the case in 3D imaging, for which the 3D reconstructions require precise knowledge of the location at which each x-ray projection was taken. This study uses a low-energy x-ray imaging device designed to perform mobile digital tomosynthesis (DT), a modality of 3D x-ray imaging, for veterinary scanning to investigate the impact of this. An intentional offset is randomly applied of size 0.5 mm and 1 mm from the expected x-ray source position, and the quality of the reconstructed image is assessed for both the case where this offset is accounted for, and where it is not. From this, it is concluded that x-ray beams used for 3D imaging applications can have up to a 1 mm error without seeing large degradation in reconstructed image quality.ht be in other modern x-ray contexts, such as within XFEL technology.L. , University of LiverpoolC. , University of Liverpool, University of Liverpool; Cockcroft InstituteA. Mavalankar,  (United Kingdom) 10.18429/JACoW-IBIC2025-MOPCO10 06 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/MOPCO10.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-MOPCO10,,,
