session_name,paper_id,title,authors,institutions,abstract,pdf_url,pdf_available,doi,page_number,received_date,accepted_date
WEPCO - Wednesday Poster Session,WEPCO01,Single-shot electron bunch profile monitor based on coherent transition radiation imaging608The development of,Lundquist; Thorin; E. Mansten; Wolfenden; Guisao Betancur,Cockcroft Institute; Lund University; MAX IV LaboratoryJ,"longitudinal diagnostics for short-pulse electron accelerators is challenging but necessary to provide high-brightness electron bunches. This is equally true in novel plasma accelerators and for free electron lasers. The gold standard for such measurements is the transverse deflecting cavity (TDC); however, these devices are typically invasive and costly to produce and operate. As an alternative, a THz-based reflective imaging system has been designed and installed at the MAX IV short pulse facility (SPF) for imaging coherent transition radiation (CTR) for bunch profile reconstruction. This contribution presents the progress towards applying transfer learning to deep learning models for evaluating the reconstruction of bunch profiles from experimentally acquired CTR images, building on previous successes in profile prediction using simulated data. Practical resolution limits and the next steps in the development of the monitor are also discussed, where the reconstructions of the longitudinal profile will be achieved using single-shot CTR images and benchmarked against the TDC bunch profiles.A. , University of LiverpoolC. Welsch, J. , University of Liverpool, University of Liverpool; Cockcroft InstituteO. Grimm, , S. . , MAX IV Laboratory 10.18429/JACoW-IBIC2025-WEPCO01 02 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO01.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO01,,,
WEPCO - Wednesday Poster Session,WEPCO02,Study of XBPM diagnostic parameters in the TPS frontend612The XBPM installed in the TPS frontend determines the center,Y. Hsiao; C. Shueh; B. Chen; Chan; Y. Cheng; Y. Yang; C. Cheng,National Synchrotron Radiation Research Center,"position of the photon beam using four CVD diamond blades. The combination of XBPM and upstream/downstream EBPM readings of the insertion device enables verification of the photon beam’s alignment along the correct trajectory. Significant changes in the beam position or profile, as well as prolonged periods without recalibration, may cause the XBPM measurement data to lose its reliability. Therefore, evaluating the reliability of the XBPM measurement data is of critical importance. By analyzing the deviation between the theoretical and measured blade intensities and calculating the standard deviation of the similarity percentage among the four blades, a reliability indicator is established. The variation of this indicator is analyzed under different conditions and compared with the corresponding Q values., , , , , , C.  10.18429/JACoW-IBIC2025-WEPCO02 29 Aug 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO02.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO02,,,
WEPCO - Wednesday Poster Session,WEPCO03,"Results of HESR BPM Testing615For the HESR diagonally cut BPMs were designed, with 64 manufactured and tested with a",C. Boehme  Forschungszentrum; Koch; V. Kamerdzhiev,GSI Helmholtz Centre for Heavy Ion Research,"purpose-built BPM test-stand. This test-stand had to host BPMs of various lengths, the overall length of the complete vacuum system varies from 450 mm to 1585 mm. For all BPMs several properties, e.g. the geometric factors or the electrical center in relation to the geometric center, were measured utilizing the test stand. The results of these measurements will be presented together with the challenges resulting from the design choices made for the layout of the test stand. JülichA. Halama, , G.  10.18429/JACoW-IBIC2025-WEPCO03 06 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO03.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO03,,,
WEPCO - Wednesday Poster Session,WEPCO04,H- Bunch Shape Measurements at LANSCE619A Feschenko-style Bunch Shape Monitor (BSM) was used to measure the,C. Taylor; M. Kay; Anisimov,Los Alamos National Laboratory,"longitudinal profile of H- bunches at the Los Alamos Neutron Science Center (LANSCE) accelerator. The measurements were taken in the 201.25-MHz drift tube linac (DTL), where the design beam energy is 72.72 MeV. The results of the measurements are presented, and several unexpected features of the measurements are discussed., , P.  10.18429/JACoW-IBIC2025-WEPCO04 03 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO04.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO04,,,
WEPCO - Wednesday Poster Session,WEPCO05,Design of spectrometer energy measurement setups for the future EuPRAXIA@SPARC_LAB and SSRIP,L. Faillace; G. Franzini; F. Demurtas; A. Ghigo; A. Giribono; L. Sabbatini  Istituto Nazionale; Verra; C. Vaccarezza; A. Stella; R. Pompili; D. Quartullo; A. Vannozzi  Istituto Nazionale,European Organization for Nuclear Research,"linacs623EuPRAXIA@SPARC_LAB is a FEL user-facility currently under construction at INFN-LNF in the framework of the EuPRAXIA collaboration. The electron beam will be accelerated to 1 GeV by an X-band RF linac followed by a plasma wakefield acceleration stage. This high-brightness linac requires diagnostic tools able to measure the beam parameters with high accuracy and resolution. To monitor the beam energy and its spread, magnetic dipoles and quadrupoles will be installed along the linac, together with viewing screens and CCD cameras. Macroparticle beam dynamics simulations were performed to determine the optimal energy measurement setup in terms of accuracy and resolution. Similar diagnostics evaluations were carried out for the spectrometer installed at the 100 MeV RF linac of the beam facility SSRIP (IFIN-HH, Romania), whose commissioning planned for 2026 will be performed by INFN-LNF in collaboration with IFIN-HH. Optics measurements were performed to characterize the resolution and magnification of the optical system foreseen to be used at EuPRAXIA@SPARC_LAB and SSRIP for beam energy monitoring.,  di Fisica Nucleare, Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di FrascatiD. Alesini, , , , , , , , ,  di Fisica Nucleare, Laboratori Nazionali di FrascatiL. , Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di FrascatiA. Cianchi  University of Rome Tor Vergata 10.18429/JACoW-IBIC2025-WEPCO05 03 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO05.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO05,,,
WEPCO - Wednesday Poster Session,WEPCO06,Performance analysis of the RF analog frontend for Diamond–II electron beam position monitors627Diamond-II is a major,M. Abbott; Zeeshan; H. Malik; L. Bobb,Diamond Light Source,"upgrade to the current synchrotron facility, Diamond Light Source. The low emittance electron beam requires more stable, low drift beam position mon- itor electronics which are also essential for the Fast Orbit Feedback system. This paper presents simulated results of the analog frontend for the electron beam position monitors. This work aims to deliver an analog frontend with stable gain and high linearity that meets the dynamic range and noise figure requirements effectively to capture beam positions for single and multi-bunch operation. Performance evaluations have been conducted using the SystemVue simulation suite., , , M.  10.18429/JACoW-IBIC2025-WEPCO06 03 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO06.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO06,,,
WEPCO - Wednesday Poster Session,WEPCO07,Fast beam-based alignment of BPMs and quadrupole magnets for SPring-8-II630In modern low-emittance electron storage,Dewa; H. Maesaka; Takano,Japan Synchrotron Radiation Research Institute; Japan Synchrotron Radiation Research InstituteS,"rings, precise beam orbit control is crucial to ensure the beam passes through the magnetic center of each high-gradient multipole magnet, with an accuracy of 10 μm or even better. Accurate alignment of a BPM with the center of the neighboring magnet is imperative, a critical requirement for SPring-8-II. With a total of 340 BPMs, efficient beam commissioning of SPring-8-II necessitates a fast beam-based alignment (BBA) method. To assess the feasibility of this method, we conducted a fast BBA experiment at the current SPring-8 storage ring utilizing new BPM readout electronics based on MicroTCA.4, enabling a data acquisition rate at 10 kHz. We varied the strength of a quadrupole magnet adjacent to a BPM head connected to the new fast readout. We scanned the electron beam across the quadrupole center by adjusting a steering dipole magnet. The BPM offset from the quadrupole center was then determined by analyzing data from all BPMs connected to the fast readout. This contribution will detail the proposed fast BBA procedure for SPring-8-II and present the results obtained from the feasibility test at the existing SPring-8 storage ring.  RIKEN SPring-8 Center, Japan Synchrotron Radiation Research Institute, SPring-8M. Masaki, H. . , SPring-8 10.18429/JACoW-IBIC2025-WEPCO07 05 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO07.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO07,,,
WEPCO - Wednesday Poster Session,WEPCO08,Determination of detector frequency ranges for an electron bunch length monitor for AWAKE run 2c633The AWAKE 150 MeV,Karataev; Mazzoni,European Organization for Nuclear Research; John Adams Institute for Accelerator Science,"electron beamline at CERN is used to provide a witness bunch for plasma wakefield acceleration, with a bunch length shorter than the plasma wavelength to ensure efficient capture and acceleration. To accomplish this, a real-time, non-invasive bunch length monitor is essential. A monitor is being studied to calculate the RMS bunch length by measuring coherent Cherenkov diffraction radiation with 3 Schottky diodes across different frequency ranges. In this paper, we present theoretical bunch length calculations based on the polarization current approach (PCA) to determine the appropriate frequency ranges for the Schottky diodes. Results show that while higher frequencies are more sensitive to variations in bunch length, they are also influenced by the skewness of a Gaussian longitudinal bunch profile.J. McGunigal  University of Manchester, European Organization for Nuclear Research, Cockcroft InstituteG. Xia  University of Manchester, University of Manchester; Cockcroft Institute, Cockcroft InstituteC. Davut  Türkiye Enerji Nükleer ve Maden Araştırma KurumuP. , Royal Holloway University of London, Royal Holloway University of London; John Adams Institute for Accelerator ScienceT. Lefevre, S.  10.18429/JACoW-IBIC2025-WEPCO08 03 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO08.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO08,,,
WEPCO - Wednesday Poster Session,WEPCO09,Bunch by bunch measurement at the HEPS by oscilloscope637By directly sampling the BPM signals with a high sampling rate,J. Yue; T. Xu; Y. Zhao  Institute; J. He; F. Huang; D. Zhu,,"oscilloscope, the bunch-by-bunch position and phase were calculated. With the help of injection trigger signal, oscilloscope was utilized to capture the injection process. The energy mismatch of the injection transient process and the residual oscillation of the injection bunch were studied. The longitudinal tune and oscillation amplitudes can be inferred. The bunch-by-bunch transverse position and longitudinal phase were analyzed by principal component analysis (PCA). The method also can be used to study the instability of the coupled bunches., , , , ,  of High Energy PhysicsJ. Cao  Institute of High Energy Physics, University of Chinese Academy of Sciences, Institute of High Energy Physics; University of Chinese Academy of SciencesY. Sui  Institute of High Energy Physics, University of Chinese Academy of Sciences 10.18429/JACoW-IBIC2025-WEPCO09 03 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO09.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO09,,,
WEPCO - Wednesday Poster Session,WEPCO10,Button BPM development and prototyping for ALBA II641,J. Alvarez; U. Iriso; L. Torino; Traver Ramos,ALBA Synchrotron (Spain),"As part of the ongoing ALBA II upgrade, which aims to significantly enhance the performance of the ALBA Synchrotron Light Source, a new design for button Beam Position Monitors (BPMs) is under investigation. In this contribution, we present the results of a characterization study conducted on button prototypes supplied by two different manufacturers. Furthermore, we introduce the preliminary design of an alternative button BPM intended for direct welding to the copper vacuum chamber of the upgraded machine., , , O.  10.18429/JACoW-IBIC2025-WEPCO10 02 Sep 2025 —  —  —",https://meow.elettra.eu/90/pdf/WEPCO10.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPCO10,,,
