session_name,paper_id,title,authors,institutions,abstract,pdf_url,pdf_available,doi,page_number,received_date,accepted_date
WEPMO - Wednesday Poster Session,WEPMO02,"Preparing the next phase of the steady-state microbunching proof-of-principle experiment at the Metrology Light Source711Steady-state microbunching (SSMB) is a proposed scheme to generate coherent radiation at short wavelengths from a microbunched electron beam in a storage ring. The feasibility of the idea is investigated in an ongoing proof-of-principle (PoP) experiment conducted at the Metrology Light Source (MLS). Phase I of the SSMB PoP experiment has been using an experimental setup employing a single-shot modulation laser to show the general viability of the idea, and has explored the underlying complex storage ring dynamics. The next step in the SSMB PoP campaign is to progress from the single-shot setup of phase I towards quasi-steady state. To this end, a new laser system is installed at the MLS that can provide turn-by-turn modulation of the electron beam for 1000 revolutions. The main goal of this phase II of the SSMB PoP experiment will be to show bound motion of electrons within individual laser-induced microbunches. In this paper, we show the progress of preparation for PoP phase II, with emphasis on the setup and integration of the new laser system and diagnostics challenges.A. Kruschinski, C. Mai, M. Marongiu, M. Ries  Helmholtz-Zentrum Berlin für Materialien und EnergieX. Deng, X. Liu, X. Lu, C. Tang, L. Yan, Z. Yang, a. chao  Tsinghua UniversityA. Hoehl, R. Klein  Physikalisch-Technische BundesanstaltPaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO02.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO02,,,
WEPMO - Wednesday Poster Session,WEPMO03,"Smith-Purcell and transition radiation based charged particle beam diagnostics for the femtosecond-range715We will give an overview of the Smith-Purcell and transition radiation based longitudinal diagnostic methods employed at the ARES (Accelerator Research Experiment at SINBAD) linear accelerator to characterize femto-second long electron bunches. The Smith-Purcell radiation mechanism has been studied for the case of metallic gratings, but not much experimental data has been published yet with respect to dielectric gratings as charged particle beam diagnostic devices. We expect a number of advantages in the detection of the radiation at the substrate side and the spectral properties of the radiation tailored by the geometric shape of the grating structures. Due to the advances in lithographic techniques dielectric gratings can be produced with optical wavelength periodicities and the shapes can be controlled with nano-meter precision. For femto-second bunch lengths the coherence of transition radiation starts to reach the near-infrared to optical regime. This opens up the possibility of characterizing the spectrum with readily available high sensitivity semi-conductor based detectors to draw conclusions on the form factor and measure bunch lengths.B. Stacey, W. Hillert  Universität Hamburg, Deutsches Elektronen-Synchrotron DESY, Deutsches Elektronen-Synchrotron DESY; Universität HamburgW. Kuropka, T. Vinatier  Deutsches Elektronen-Synchrotron DESYPaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO03.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO03,,,
WEPMO - Wednesday Poster Session,WEPMO04,"Diamond dosimeter for the measurement of the proton beam impact position on a neutron spallation target718In close proximity to the spallation neutron source of the neutron time-of-flight facility n_TOF at CERN, diamond detectors are installed to measure the fast neutron beam. The detectors are located 2.3 m from the center of the spallation target at 100° with respect to the impinging proton beam. The 20 GeV/c proton beam from CERNs Proton Synchrotron (PS) hits the Pb-spallation target with a nominal intensity of 8.5e12 protons/bunch, a proton bunch length of 16 ns FWHM and a maximum repetition rate of 0.8 Hz. The proton beam intensity is monitored with a beam current transformer (BCT) installed in the PS extraction line to n_TOF. The proton beam position is measured using a SEM grid 2 m before the spallation target. A linear correlation between the horizontal proton beam impact position on the Pb-target and the measured dose of the secondary radiation at the measurement station for each pulse is observed. While the proton beam impact position varies by 12 mm, the normalised dose varies by 20%. The achievable precision of the proton beam position measurement using the diamond dosimeter and the linearity of the dose measurement for individual bunches is studied and will be presented.C. Weiss  TU Wien, CIVIDEC Instrumentation (Austria)E. Griesmayer, J. Melbinger  TU Wien, TU Wien; CIVIDEC Instrumentation (Austria), CIVIDEC Instrumentation (Austria)E. Jericha, M. Bacak  TU WienH. Frais-Kölbl  Fachhochschule Wiener NeustadtK. Kaperoni, M. Diakaki, M. Kokkoris  National Technical University of AthensPaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO04.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO04,,,
WEPMO - Wednesday Poster Session,WEPMO05,"Testing of SiC Blade X-ray Beam Position Monitors for Synchrotron Front-Ends722X-ray beam position monitors (XBPMs) play a crucial role in accurately measuring the position of the white beam in synchrotron front ends. Traditional XBPM designs typically feature four tungsten blades arranged at the full width at half maximum (FWHM) of the white beam. However, the high absorption and lower thermal resistance of tungsten limit the proximity of the blades to the X-ray source, which may negatively impact measurement precision. This study investigates the performance of an innovative XBPM design that utilises silicon carbide (SiC) blades, which provide enhanced thermal conductivity and reduced absorption. This advancement may allow for closer placement of the blades to the beam, potentially improving measurement accuracy. This experimental setup aims to assess the impact of SiC blades on measurement accuracy, signal-to-noise ratio, and linearity compared to conventional tungsten XBPMs. The results will offer valuable insights into the benefits and limitations of SiC-based XBPMs compared to their tungsten counterparts.C. Houghton, L. Bobb  Diamond Light SourcePaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO05.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO05,,,
WEPMO - Wednesday Poster Session,WEPMO06,"Geometrical studies for the arc beam position monitors FCC-ee726The electron-positron Future Circular Collider (FCC-ee) has challenging requirements for beam instrumentation, including the need for thousands of high-resolution beam position monitors (BPMs) presenting low impedance to the circulating beam. This paper details the requirements for the FCC-ee arc BPMs and investigates button-type pickups with various geometries through electromagnetic simulations using FCC-ee design parameters. The simulation results are used to estimate key BPM characteristics, including impedance and heating.E. Howling  University of Oxford, European Organization for Nuclear Research, John Adams InstituteM. Gasior, N. Chambers, R. Kieffer, M. Krupa, T. Lefevre, B. Moser, H. Sullivan, C. Zannini  European Organization for Nuclear ResearchP. Burrows  University of OxfordPaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO06.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO06,,,
WEPMO - Wednesday Poster Session,WEPMO07,"Gain calibration for eliminating X-Y coupling in X-ray beam position monitors at SPring-8 photon beamlines729Although synchrotron radiation originates from charged particle beams, monitoring its positional stability requires distinct technical approaches. To enhance the accuracy of position and angle measurements of the synchrotron radiation beam at SPring-8 BL15XU, both a quadrant-type XBPM and a fixed-blade XBPM were installed on the same beamline. In the quadrant-type XBPM, widening the detector spacing led to noticeable X-Y coupling. To address this, a 2×2 correction matrix was introduced to perform linear transformation of the measured signals. The proposed method successfully eliminated X-Y coupling while maintaining resolution, enabling simultaneous operation of both XBPMs.H. Aoyagi  Japan Synchrotron Radiation Research InstitutePaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO07.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO07,,,
WEPMO - Wednesday Poster Session,WEPMO08,"Development of BPM electronics for TRIUMF’s BL4N733The BL4N beamline at TRIUMF, currently under development, will transport proton beam from the 500 MeV cyclotron to an ISOL target station. The peak beam current will be varied from 1 to 100 microamps, and the beam position must be measured over a 10mm range. The beam position is measured using inductive pick-ups and a new narrowband frontend. The electronics consist of a crossbar-switched front-end, FPGA-based down-conversion and position calculation, and an SoC module for nonlinear corrections and device readout. This report presents the design and testing of the BPM electronics, including benchtop validation and beam test results. Measurements of position sensitivity, beam current dependence, and non-linearity are included.H. Jones  TRIUMFPaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO08.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO08,,,
WEPMO - Wednesday Poster Session,WEPMO09,"Online position conversion factor calibration study for BPM system736Transverse beam position is one of the most critical parameters in accelerator commission and operation. As non-invasive diagnostic devices, beam position monitors (BPMs) are the main “workhorse” in accelerators, providing beam center of mass position information. The position conversion factor (K-factor) of BPM systems constitutes a fundamental determinate of measurement accuracy. While precision calibration traditionally relies on moveable calibrate platforms, the prohibitive cost of equipping each BPM with a dedicated two-dimensional calibration platform remains a widespread practical constraint. In this paper, an innovative online calibration method that synergizes machine learning with beam response matrix analysis to achieve per-BPM K-factor determination is introduced. The preliminary beam experiments have been carried out at Shanghai Soft X-ray Free-Electron Laser (SXFEL) facility. The proposed method offers a robust and resource-efficient calibration solution, particularly advantageous for cavity BPM systems where conventional approaches such as theoretical calculation and offline wire scanning, fail to provide reliable results.J. Chen  Shanghai Synchrotron Radiation Facility, Shanghai Advanced Research InstituteL. Lai, R. Yuan  Shanghai Advanced Research InstitutePaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO09.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO09,,,
WEPMO - Wednesday Poster Session,WEPMO10,"Performance evaluation of front-end attenuators and integrated gain calibration system for new BPM DAQ system at J-PARC MRThe J-PARC MR achieved its initial target of 750 kW operation and is currently upgrading its equipment to reach the next target of 1.3 MW. The Beam Position Monitor (BPM) must enhance position accuracy to less than one-third of that of the current system to mitigate beam losses caused by accelerating the high-intensity proton beam of 3.3E14ppp. To address this, a new Data Acquisition System (DAQ), comprising Front-end Attenuator Boards (ATT), ADC Boards, Network Interface Controllers, and a Data Storage System, is under development. Improving position accuracy relies on improving reflection at the ATT's input terminal and adjusting the gain balance for each signal channel. A self-contained gain tuning system using a self-generating test pulse and an input impedance tuning circuit has been adopted to mitigate the reflection at the ATT and enhance the gain balance across all components, including sensors, signal transmission cables (100–300m), and the DAQ. The installation of the DAQ system is for this winter and the ATT calibration and performance testing are currently underway. This report presents the calibration results and their impact on beam position accuracy.K. Satou, T. Toyama, S. Yamada, A. Kobayashi, M. Okada  High Energy Accelerator Research Organization",,,,https://meow.elettra.eu/90/pdf/WEPMO10.pdf,False,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO10,,,
WEPMO - Wednesday Poster Session,WEPMO11,"Design and expected performance of the new BPM systems for AWAKE Run 2C739The AWAKE facility at CERN uses novel proton beam-driven plasma wakefields to accelerate electron bunches over a 10 m plasma source. The facility will soon be rebuilt to study methods to improve the quality of the accelerated electron beam, requiring better resolution from the proton BPMs. In addition, it is desirable to replace the existing bespoke electron BPMs with an in-house solution. Both upgrades will reuse the existing BPM pickups (electrostatic buttons and striplines, respectively) but replace the electronic front-ends and control system interfaces. An RFSoC-based BPM front-end is concurrently being developed for the HL-LHC upgrade, which, if appropriate for AWAKE, would reduce production and maintenance efforts. For the proton BPMs, distributed along an 800 m transfer line, time-multiplexing of both pickups per plane has been chosen both to reduce cabling and channel count and improve systematic errors in the measurements. We present the expected performance of both the AWAKE proton and electron BPMs using the prototype HL-LHC BPM front-end, based on measurements from the existing facility.L. Stant, A. Boccardi, T. Bogey, I. Degl'Innocenti, A. Jevtic, M. Krupa, S. Mazzoni, C. Pakuza  European Organization for Nuclear ResearchPaper:",,,,https://meow.elettra.eu/90/pdf/WEPMO11.pdf,True,https://doi.org/10.18429/JACoW-IBIC2025-WEPMO11,,,
